group_code,country_group
0,СНГ
1,Европа остальная
2,Ближний Восток
3,Азия
4,Латинская Америка
5,ЕС-28
6,Австралия и Океания
7,Африка
8,Северная Америка
9,Китай
10,Неизвестная страна
