branch_code,branch
0,АПК и пищевая промышленность
1,Прочие разные услуги
2,Легкая промышленность
3,Химический комплекс
4,Стройматериалы
5,Металлургия
6,ЖКХ
7,Уголь
8,Нефтегаз
9,Энергетика
10,Фарма
11,"Образование, наука, спорт"
12,Лесная и целлюлозно-бумажная промышленность
13,Строительство и услуги в недвижимости
14,Машиностроение
15,Информационные технологии
16,Секретный код
